idx,node_id,work_node_id,google_min,google_mile,path4gmns_mile,path4gmns_km,gmns_google_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,47733,54711,16,11.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,77756,91891,11,7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,46038,120982,23,19,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,86520,91340,18,14.8,10.247475,16.39596,0.692396959459459,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,56126,113372,7,3.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,122781,120982,11,5.6,10.14928125,16.23885,1.81237165178571,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,121670,91340,13,10.7,17.8087,28.49392,1.66436448598131,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,98482,75041,19,11.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,110082,54711,19,14.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,59742,91340,5,1.1,2.51839375,4.02943,2.28944886363636,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,107189,91340,18,16.2,26.3846125,42.21538,1.62867978395062,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,75589,110039,9,4.3,13.5928,21.74848,3.16111627906977,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,79059,54711,8,2.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,67767,66506,8,3.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,112141,91340,5,1.5,2.6035625,4.1657,1.73570833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,52340,91340,20,17.4,10.2858625,16.45738,0.591141522988506,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,67473,91340,11,6.1,14.4618,23.13888,2.3707868852459,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,75370,77261,16,13.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,64020,91340,11,9,6.1207375,9.79318,0.680081944444445,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,121022,91340,4,1.3,6.21493125,9.94389,4.78071634615385,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,119565,54711,21,19.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,68490,91891,11,4.6,12.91961875,20.67139,2.80861277173913,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,94121,91340,6,2.5,5.91253125,9.46005,2.3650125,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,107342,91340,6,2.6,5.470225,8.75236,2.10393269230769,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,3830,120995,21,17.6,11.4124125,18.25986,0.648432528409091,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,82221,54711,19,16.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,35945,54711,38,38.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,90268,54711,30,23.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,28168,91340,47,46.3,32.0058625,51.20938,0.691271328293737,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,122888,120982,17,15.5,10.29989375,16.47983,0.664509274193549,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,122807,120982,18,15.7,10.10654375,16.17047,0.643728901273885,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,108417,91340,6,1.9,14.8273625,23.72378,7.803875,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,120285,91891,3,1.1,7.306625,11.6906,6.64238636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,78866,54711,16,14.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,77221,54711,6,1.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,60545,91340,10,3.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,71564,91340,8,3.2,7.2228875,11.55662,2.25715234375,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,75156,91340,12,4.9,8.521425,13.63428,1.73906632653061,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,81390,91340,11,7.1,13.68405,21.89448,1.92733098591549,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,56504,54711,16,11.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,85071,54711,15,10.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,68772,54711,18,12.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,97409,91340,7,1.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,56695,74417,21,14.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,65163,77261,15,8.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
